iter	Passed	Remaining
0	167	167092
1	172	86137
2	177	58953
3	182	45359
4	186	37139
5	191	31749
6	197	27949
7	202	25087
8	206	22743
9	211	20934
10	216	19497
11	221	18240
12	226	17173
13	231	16293
14	236	15505
15	239	14752
16	245	14186
17	249	13616
18	254	13138
19	258	12658
20	263	12280
21	266	11866
22	271	11511
23	275	11186
24	279	10905
25	283	10635
26	288	10385
27	292	10167
28	296	9941
29	301	9735
30	306	9569
31	310	9392
32	313	9199
33	318	9037
34	323	8916
35	327	8779
36	332	8642
37	335	8500
38	340	8394
39	345	8280
40	348	8142
41	353	8054
42	357	7951
43	360	7836
44	365	7746
45	369	7664
46	373	7576
47	375	7440
48	379	7363
49	384	7301
50	388	7226
51	392	7163
52	396	7088
53	402	7045
54	405	6967
55	409	6907
56	413	6848
57	418	6796
58	422	6745
59	427	6694
60	431	6643
61	435	6594
62	439	6540
63	443	6489
64	448	6451
65	452	6402
66	456	6360
67	460	6317
68	464	6268
69	468	6230
70	472	6177
71	477	6156
72	479	6087
73	483	6055
74	486	6000
75	489	5951
76	494	5928
77	498	5895
78	502	5855
79	505	5818
80	510	5793
81	514	5764
82	519	5735
83	520	5678
84	525	5657
85	530	5638
86	532	5585
87	536	5559
88	540	5531
89	544	5505
90	548	5481
91	550	5434
92	555	5417
93	559	5392
94	561	5353
95	566	5334
96	571	5316
97	575	5292
98	578	5265
99	582	5243
100	587	5228
101	591	5209
102	595	5189
103	600	5169
104	604	5149
105	608	5128
106	612	5111
107	616	5090
108	620	5074
109	623	5047
110	627	5026
111	631	5007
112	635	4991
113	640	4974
114	643	4954
115	648	4942
116	652	4922
117	656	4907
118	660	4889
119	664	4874
120	666	4844
121	671	4829
122	675	4813
123	677	4783
124	681	4770
125	685	4754
126	689	4740
127	693	4725
128	697	4710
129	701	4694
130	705	4677
131	709	4663
132	711	4636
133	715	4623
134	719	4609
135	723	4595
136	727	4580
137	730	4564
138	734	4549
139	738	4535
140	742	4521
141	744	4495
142	745	4470
143	746	4439
144	748	4413
145	749	4386
146	751	4360
147	752	4334
148	754	4308
149	755	4282
150	757	4261
151	759	4236
152	760	4210
153	761	4185
154	763	4161
155	764	4137
156	765	4111
157	767	4087
158	768	4063
159	769	4040
160	770	4014
161	771	3992
162	773	3969
163	774	3949
164	776	3927
165	776	3903
166	778	3881
167	779	3860
168	780	3838
169	781	3817
170	783	3797
171	784	3777
172	785	3757
173	787	3737
174	788	3717
175	789	3697
176	791	3677
177	792	3658
178	793	3639
179	794	3619
180	795	3600
181	797	3582
182	798	3563
183	799	3544
184	800	3526
185	801	3509
186	804	3496
187	805	3481
188	807	3463
189	808	3446
190	809	3429
191	810	3412
192	811	3395
193	813	3378
194	814	3361
195	815	3345
196	816	3329
197	817	3313
198	820	3300
199	821	3284
200	822	3268
201	823	3252
202	824	3236
203	825	3221
204	826	3206
205	828	3191
206	829	3176
207	830	3162
208	831	3147
209	832	3133
210	834	3118
211	835	3107
212	837	3093
213	838	3079
214	839	3065
215	840	3051
216	842	3038
217	843	3025
218	844	3011
219	845	2998
220	847	2985
221	848	2972
222	849	2959
223	850	2947
224	852	2935
225	853	2923
226	854	2909
227	855	2897
228	856	2884
229	858	2872
230	859	2860
231	860	2848
232	861	2836
233	863	2825
234	864	2813
235	865	2800
236	867	2791
237	868	2781
238	870	2770
239	871	2760
240	872	2748
241	873	2737
242	875	2726
243	876	2715
244	877	2703
245	878	2693
246	879	2682
247	880	2671
248	882	2663
249	884	2653
250	885	2643
251	886	2632
252	888	2622
253	889	2611
254	890	2601
255	891	2591
256	892	2581
257	893	2571
258	895	2560
259	896	2551
260	898	2543
261	899	2534
262	901	2525
263	902	2515
264	903	2505
265	904	2496
266	905	2486
267	907	2477
268	908	2468
269	909	2458
270	910	2449
271	911	2440
272	913	2431
273	914	2424
274	916	2415
275	917	2406
276	918	2397
277	919	2388
278	920	2380
279	922	2371
280	923	2362
281	924	2353
282	925	2345
283	926	2336
284	928	2328
285	930	2321
286	931	2314
287	932	2306
288	934	2297
289	935	2289
290	936	2281
291	937	2273
292	938	2265
293	939	2256
294	940	2248
295	942	2240
296	943	2233
297	945	2226
298	947	2220
299	948	2212
300	949	2205
301	950	2197
302	952	2189
303	953	2182
304	954	2174
305	955	2167
306	956	2159
307	957	2152
308	959	2144
309	960	2138
310	962	2131
311	963	2125
312	965	2118
313	966	2111
314	967	2104
315	968	2097
316	970	2089
317	971	2082
318	972	2075
319	973	2068
320	974	2062
321	977	2058
322	979	2052
323	980	2045
324	981	2039
325	983	2032
326	984	2025
327	985	2019
328	986	2012
329	987	2005
330	989	1999
331	990	1992
332	992	1987
333	993	1981
334	995	1975
335	996	1968
336	997	1962
337	998	1955
338	999	1949
339	1000	1942
340	1002	1936
341	1003	1930
342	1004	1924
343	1005	1918
344	1007	1911
345	1008	1906
346	1010	1901
347	1011	1895
348	1012	1889
349	1014	1883
350	1015	1877
351	1016	1871
352	1017	1865
